ad disruption,To many mf ads.
praise,Also very cool that they don't bombard you with ads. 
excessive network traffic,"Bad reviews cheat browsing traffic software	"
fail to delete,videos in drafts should not be deleted after uninstalling the app ... otherwise fantabulous ????????
ad disruption,"Tried it out. I could never actually read an article, the pop-up ads are incessant. I just tried to read an article, restarted the story three times, the article was covered by three separate ads, just a waste of my time.  Could be a decent news source but the programmers need to cut out so many interruptions."
fail to install,"Why can't you install it... Cry~	"
ad disruption,"Crazy intrusive ads, tried to get me to rate in 5 stars immediately. Unusable."
fail to retrieve content,"Same as others. 404 error, useless app!"
fail to start,Downloaded on new phone kept freezin this app used to work awesome sorry for the one star but if it dont work then thats all it gets ..
drive-by download,Very good But it doesnt let me download it
fail to install,"How can I fail to install`	"
permission abuse,"It's really rogue software to refuse to use the address book without giving permission	"
vulgar content,Be careful there sre pedafiles in this world but you can have your account private but all it takes is a hack i syill give it fove stars people can also say things like this. You're so sexy and i love your body. there are a lot of really gross people so i just wanted to say be safe.
bad performance,"The latest version of the card exploded and can't be used at all. I didn't think there was such a card app in this era	"
fail to install,"The desktop is good, but it's unrealistic to install it again after a period of time. I don't know why my tablet is motoxoommz6013g version!!!	"
fail to start,Will not even let you do anything. The moment you start to navigate the app crashes
app ranking fraud,"Brush your MB comments	"
fail to install,I love this app but it wont let ME install it
fail to login or register,"When registering, the card failed to receive the verification code sent by SMS for many times. Up to now, it is impossible to register	"
privacy or information leak,"After updating my files, there is no garbage! Don't come out to harm people without this strength	"
fail to delete,cannot be deleted 
permission abuse,I very much like this app but in update versions i can't upload my sound thats why i have promblem and tik toh don't slow it i will uninstall app please give permission for own sound and give view of video
bad performance,"Experience it for 10 minutes every day. Go in and crash until the end	"
privacy or information leak,"What's the matter? Move the album video to another album to show that there are so many videos in the original album! After choosing to delete, all the videos are gone. Who pays for my video? That's all the videos my son has had since he was born! What the hell is this!	"
fail to start,I love this idea. But the app crashes every time with my Galaxy and Gear VR.
permission abuse,I have a problem to record video it asks a grant permissions
drive-by download,its not even letting me download the app
vulgar content,I love the videos of all the sexy guys dancing!! Wow!!
fail to delete,"I'm in a mood to say I can't delete it! Pit father What if you write wrong!! Hope to change	"
fail to start,it crashed
bad performance,"Fuck, I was supposed to crash perfectly for the 5100s	"
fail to install,"I can't even install it. It's down to my mobile phone. I can't use anything	"
ad disruption,Ads were only there nothing else
fail to start,"**The card is dead and can't be opened	"
